passID,timestamp,stationRef,vehicleRef,charge,t,v,hn,p,status
TOB7336760,1/1/2019 01:37,OO12,AT19HLV57173,2.8,OO12,AT19HLV57173,OO,home,unpaid
LDD7262109,1/1/2019 02:50,OO06,AT19HLV57173,2.8,OO06,AT19HLV57173,OO,home,unpaid
NSR5538511,1/1/2019 05:23,AO07,DP11ENT03275,3.1,AO07,DP11ENT03275,AO,home,unpaid
BDG6166982,1/1/2019 06:03,AO18,LG64ARC91224,13,AO18,LG64ARC91224,AO,home,unpaid
YWD3967715,1/1/2019 06:09,MR06,QO68DIC93032,2.5,MR06,QO68DIC93032,MR,home,unpaid
THF3239181,1/1/2019 06:10,OO12,XV40HUQ04740,1.25,OO12,XV40HUQ04740,OO,home,unpaid
DKZ3204266,1/1/2019 07:28,EG04,TV81MAQ99005,2.8,EG04,TV81MAQ99005,EG,home,unpaid
VSD5346273,1/1/2019 08:17,EG03,CP56DAO45598,2.8,EG03,CP56DAO45598,GF,away,unpaid
UTI9677334,1/1/2019 08:52,AO13,DP11ENT03275,3.1,AO13,DP11ENT03275,AO,home,unpaid
UIV0991172,1/1/2019 09:35,AO16,NO82BAX82566,2.8,AO16,NO82BAX82566,NE,away,unpaid
BIM5756381,1/1/2019 09:53,KO08,QW79CHL42244,2.8,KO08,QW79CHL42244,KO,home,unpaid
JVV5228001,1/1/2019 10:33,KO04,JO50FSF60755,2.2,KO04,JO50FSF60755,KO,home,unpaid
TYV5505416,1/1/2019 10:41,KO08,WY00MLL63827,1,KO08,WY00MLL63827,KO,home,unpaid
DVP9052273,1/1/2019 12:23,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home,unpaid
RCN6097732,1/1/2019 12:45,GF00,IO09FGE68100,2.8,GF00,IO09FGE68100,GF,home,unpaid
UPC0934127,1/1/2019 16:48,OO04,CP56DAO45598,2.5,OO04,CP56DAO45598,GF,away,unpaid
UYS4444642,1/1/2019 16:52,NE09,QP02SYE47964,2.8,NE09,QP02SYE47964,NE,home,unpaid
YOW7433640,1/1/2019 17:18,AO02,QN23UHH39091,2.8,AO02,QN23UHH39091,MR,away,unpaid
JLS1333152,1/1/2019 17:41,EG08,CR31GMR97972,1.5,EG08,CR31GMR97972,EG,home,unpaid
QGO0903208,1/1/2019 18:02,EG02,TE24LCO18661,1.25,EG02,TE24LCO18661,EG,home,unpaid
IRK4760444,1/1/2019 19:39,EG11,MU06LHX94338,1.5,EG11,MU06LHX94338,EG,home,unpaid
YZL7519880,1/1/2019 23:13,EG12,MU06LHX94338,1.5,EG12,MU06LHX94338,EG,home,unpaid
XRS9245728,1/1/2019 23:35,KO06,HW75BKT77773,2.2,KO06,HW75BKT77773,KO,home,unpaid
ADK8001607,2/1/2019 00:22,OO12,EM54HQI58682,2.8,OO12,EM54HQI58682,OO,home,unpaid
ZLJ2429774,2/1/2019 00:39,EG07,CM15YCB60994,2,EG07,CM15YCB60994,EG,home,unpaid
PFK3153908,2/1/2019 01:25,EG09,CM15YCB60994,2,EG09,CM15YCB60994,EG,home,unpaid
OJF7533092,2/1/2019 02:21,NE09,FY47TUN40300,1,NE09,FY47TUN40300,NE,home,unpaid
AYA2207372,2/1/2019 02:42,EG02,DW44ZOO26361,2.5,EG02,DW44ZOO26361,EG,home,unpaid
SUW7443304,2/1/2019 03:30,GF00,JE65QJK64802,2.8,GF00,JE65QJK64802,GF,home,unpaid
NQU2005152,2/1/2019 04:18,AO18,RR73DWB65452,2.8,AO18,RR73DWB65452,AO,home,unpaid
PZE1892597,2/1/2019 04:24,OO00,AT19HLV57173,2.8,OO00,AT19HLV57173,OO,home,unpaid
AYH8728597,2/1/2019 04:28,GF00,QO68DIC93032,13,GF00,QO68DIC93032,MR,away,unpaid
XJD2966445,2/1/2019 05:50,GF00,DO24BCW15511,13,GF00,DO24BCW15511,KO,away,unpaid
HVQ7237032,2/1/2019 06:12,KO00,KB55KTM48860,2.5,KO00,KB55KTM48860,KO,home,unpaid
NHY3086874,2/1/2019 07:11,AO15,YL27IFD65117,2,AO15,YL27IFD65117,AO,home,unpaid
